sim_id,sim_content,score,problem_id
s_0,"저장위치가 쿠키는 클라이언트측이고, 세션은 웹서버라는 내용 - 2점",2.00,mstr_nw_1
s_1,세션이 쿠키보다 보안에 유리하다는 내용 - 1점,1.00,mstr_nw_1
s_2,세션이 쿠키보다 속도가 느리다는 내용 - 1점,1.00,mstr_nw_1
s_3,Lifecycle에 대한 내용 - 1점,1.00,mstr_nw_1
s_4,서버가 상태를 갖지 않는다는 내용 - 2점,2.00,mstr_nw_2
s_5,같은 동작을 여러번 해도 결과가 바뀌지 않는다는 내용 - 2점,2.00,mstr_nw_2
s_6,"HTTP method 중에는 GET, PUT, DELETE 등이 있음, 혹은 멱등성이 아닌 메서드 POST, PUT에 대한 내용 - 1점",1.00,mstr_nw_2
s_7,프로세스는 운영체제로부터 시스템 자원을 할당(프로그램)받는 작업의 단위라는 내용 - 1점,1.00,mstr_os_2
s_8,스레드는 할당받은 자원을 이용(task)하는 실행의 단위라는 내용 - 1점,1.00,mstr_os_2
s_9,스레드는 프로세스 내에 존재한다는 내용 - 1점,1.00,mstr_os_2
s_10,"스레드는 프로세스의 Code, Data, Heap 영역을 공유받는다는 내용 - 2점",2.00,mstr_os_2
s_11,상호 배제에 대한 내용 -> 한 번에 프로세스 하나만 해당 자원을 사용할 수 있다. 사용중인 자원을 다른 프로세스가 사용하려면 요청한 자원이 해제될 때까지 기다려야 한다. - 1.25점,1.25,mstr_os_1
s_12,"점유 대기에 대한 내용 -> 자원을 최소한 하나 보유하고, 다른 프로세스에 할당된 자원을 점유하기 위해 대기하는 프로세스가 존재해야 한다 - 1.25점",1.25,mstr_os_1
s_13,비선점에 대한 내용 → 이미 할당된 자원을 강제로 빼앗을 수 없다. - 1.25점,1.25,mstr_os_1
s_14,순환 대기에 대한 내용 -> 대기 프로세스의 집합이 순환 형태로 자원을 대기하고 있어야 한다. - 1.25점,1.25,mstr_os_1
s_15,프로세스는 운영체제로부터 시스템 자원을 할당(프로그램)받는 작업의 단위 - 1점,1.00,mstr_os_2
s_16,스레드는 할당받은 자원을 이용(task)하는 실행의 단위 - 1점,1.00,mstr_os_2
s_17,스레드는 프로세스 내에 존재 - 1점,1.00,mstr_os_2
s_18,"스레드는 프로세스의 Code, Data, Heap 영역을 공유받음 - 2점",2.00,mstr_os_2
s_19,후보키 중 엔티티를 대표할 수 있는 키 - 1점,1.00,mstr_db_1
s_20,특정 튜플을 유일하게 구별할 수 있는 속성 - 1점,1.00,mstr_db_1
s_21,키를 구성하는 속성들 중 꼭 필요한 최소한의 속성들로만 키를 구성 - 1점,1.00,mstr_db_1
s_22,NULL 값을 가질 수 없다 - 1점,1.00,mstr_db_1
s_23,자주 변경되지 않아야 한다 - 1점,1.00,mstr_db_1
s_24,만약 트랜잭션 중간에 어떠한 문제가 발생한다면 트랜잭션에 해당하는 어떠한 작업 내용도 수행되어서는 안되며 아무런 문제가 발생되지 않았을 경우에만 모든 작업이 수행되어야 한다. - 1.25 점,1.25,mstr_db_2
s_25,트랜잭션이 완료된 다음의 상태에서도 트랜잭션이 일어나기 전의 상황과 동일하게 데이터의 일관성을 보장해야 한다. - 1.25 점,1.25,mstr_db_2
s_26,각각의 트랜잭션은 서로 간섭없이 독립적으로 수행되어야 한다. - 1.25 점,1.25,mstr_db_2
s_27,트랜잭션이 정상적으로 종료된 다음에는 영구적으로 데이터베이스에 작업의 결과가 저장되어야 한다. - 1.25 점,1.25,mstr_db_2
s_28,상대적으로 중복 정도가 낮은 column - 1점,1.00,mstr_db_3
s_29,특정 필드값을 지정했을 때 선택되는 레코드 수를 테이블 전체 레코드 수로 나눈 값이 낮은 column - 1점,1.00,mstr_db_3
s_30,실제 작업에서 자주 활용되는 column - 1점,1.00,mstr_db_3
s_31,"삽입, 삭제, 변경이 적게 일어나는 column - 1점",1.00,mstr_db_3
s_32,조건절에서 많이 사용되는 column - 1점,1.00,mstr_db_3
s_33,논리적 저장 순서와 물리적 저장 순서가 일치한다.,,mstr_ds_1
s_34,인덱스(index)로 해당 원소(element)에 접근할 수 있다.,,mstr_ds_1
s_35,O(1)에 random access가 가능하다.,,mstr_ds_1
s_36,Last In First Out  - 2점 ,2.00,mstr_ds_2
s_37,자료의 삽입과 삭제가 한 곳에서만 이루어짐 - 1점 ,1.00,mstr_ds_2
s_38,"삽입, 삭제, 조회의 시간 복잡도가 O(1) - 1점",1.00,mstr_ds_2
s_39,DFS에서 사용 됨 - 1점 ,1.00,mstr_ds_2
s_40,First In First Out - 2점,2.00,mstr_ds_3
s_41,rear에서 자료의 삽입이 front에서 자료의 삭제가 이루어짐 - 1점,1.00,mstr_ds_3
s_42,"삽입, 삭제의 시간 복잡도 O(1), 조회의 시간 복잡도는 O(N) - 1점",1.00,mstr_ds_3
s_43,BFS에서 사용 됨 - 1점,1.00,mstr_ds_3
,,,
,,,
,,,